Month,Year,Date,ETo _mm,Precip_mm,MaxT,MinT,AvgT
1,2009,2009-01-01,0.81,0,14.1,3.6,7.4
1,2009,2009-01-02,0.56,6.1,13,3.4,7.1
1,2009,2009-01-03,1.46,0,11.7,-0.4,5.9
1,2009,2009-01-04,1.47,0,11.5,-2,4.2
1,2009,2009-01-05,0.36,1.02,8.2,2.8,5.9
1,2009,2009-01-06,1.09,0.25,12.3,3.5,7.1
1,2009,2009-01-07,1.49,0,16.1,3.2,8.6
1,2009,2009-01-08,1.43,0,14,3.5,9
1,2009,2009-01-09,1.94,0,17.3,4.6,10.3
1,2009,2009-01-10,1.98,0,20.3,4.4,11.5
1,2009,2009-01-11,2.11,0,23.8,3.9,12.5
1,2009,2009-01-12,2.26,0,24.2,8.8,16.4
1,2009,2009-01-13,2.2,0,27.7,11.3,17.8
1,2009,2009-01-14,2.36,0,24.7,7.4,14.5
1,2009,2009-01-15,2.37,0,25.3,7.8,15
1,2009,2009-01-16,2.38,0,26.1,8,14.9
1,2009,2009-01-17,2.35,0,26.1,7.2,14.5
1,2009,2009-01-18,2.4,0,26.2,7.2,14.7
1,2009,2009-01-19,2.49,0,25.8,7,14.6
1,2009,2009-01-20,2.37,0,25.2,7,14.6
1,2009,2009-01-21,0.88,10.67,17,10.2,13
1,2009,2009-01-22,0.18,19.3,12.7,10,11.2
1,2009,2009-01-23,0.29,9.14,14.5,11.3,12.5
1,2009,2009-01-24,0.44,0.25,12.2,8,10.8
1,2009,2009-01-25,1.41,0,12.7,4.5,8.4
1,2009,2009-01-26,1.53,0,13.7,1.9,6.7
1,2009,2009-01-27,1.96,0,13.1,1,6.9
1,2009,2009-01-28,2.15,0,17.6,0.4,8
1,2009,2009-01-29,2.43,0,21.8,4.8,12.9
1,2009,2009-01-30,2.44,0,22.6,4.7,12.7
1,2009,2009-01-31,2.33,0,20,3.6,10.6
2,2009,2009-02-01,2.82,0,21.9,4.5,13
2,2009,2009-02-02,2.9,0,24.5,5.6,13.3
2,2009,2009-02-03,2.85,0,21.8,5.5,11.9
2,2009,2009-02-04,1.96,0,20.1,2.6,9.9
2,2009,2009-02-05,0.98,12.7,13.9,8.4,10.4
2,2009,2009-02-06,0.32,38.35,11,8.5,9.9
2,2009,2009-02-07,2.29,0,15.5,5.2,10.2
2,2009,2009-02-08,0.45,10.41,10.6,4.6,7.9
2,2009,2009-02-09,2.38,0.25,11.5,3.2,6.4
2,2009,2009-02-10,2.2,9.91,11.7,-0.2,5.9
2,2009,2009-02-11,1.93,14.22,12.3,4.2,7.3
2,2009,2009-02-12,1.18,1.78,10.4,3,6.6
2,2009,2009-02-13,1.74,22.86,10.9,4,6.9
2,2009,2009-02-14,1.67,6.86,11.1,4.1,7.5
2,2009,2009-02-15,0.14,67.31,9.6,7.4,8.4
2,2009,2009-02-16,1.53,30.48,11.7,6.9,8.6
2,2009,2009-02-17,1.31,7.62,11.8,7.2,9.5
2,2009,2009-02-18,2.43,0.25,14.7,4.8,9
2,2009,2009-02-19,2.89,0,17.7,3.1,9
2,2009,2009-02-20,2.63,0,18.8,3,10.1
2,2009,2009-02-21,1.18,3.05,14.1,5.3,9.9
2,2009,2009-02-22,0.18,35.31,13.7,10.2,11.5
2,2009,2009-02-23,0.46,15.24,14.1,11.2,12.4
2,2009,2009-02-24,2.57,1.02,16.5,8.7,12.2
2,2009,2009-02-25,2.45,0,14.7,7.3,10.5
2,2009,2009-02-26,1.98,8.64,16.3,6.2,11.2
2,2009,2009-02-27,2.99,0,16.7,4.4,9.4
2,2009,2009-02-28,2.24,0,20.3,6.7,12.6
3,2009,2009-03-01,0.51,4.83,15.6,10.7,12.7
3,2009,2009-03-02,0.78,9.4,14,10.6,12.4
3,2009,2009-03-03,0.94,17.27,13.3,8.1,11
3,2009,2009-03-04,2.58,1.78,12.4,4,7.8
3,2009,2009-03-05,3.11,3.3,14.1,5.6,8.7
3,2009,2009-03-06,1.77,0.51,13.1,4.6,8.3
3,2009,2009-03-07,3.34,0,15.1,2.3,8.6
3,2009,2009-03-08,2.72,0,14.6,4.8,8.9
3,2009,2009-03-09,3.58,0,13.5,1.2,7.6
3,2009,2009-03-10,3.52,0,14.2,-0.6,7
3,2009,2009-03-11,3.52,0,16.1,1.8,8.1
3,2009,2009-03-12,3.62,0,18,1.3,8.9
3,2009,2009-03-13,3.44,0,19.2,3.5,9.7
3,2009,2009-03-14,3.15,0,14.2,6.6,9.2
3,2009,2009-03-15,1.72,1.02,13.8,7.4,10.1
3,2009,2009-03-16,2.45,2.29,19.1,8.7,12.6
3,2009,2009-03-17,4.04,0,21.4,7.4,13.4
3,2009,2009-03-18,3.77,0,22.1,6.4,13.3
3,2009,2009-03-19,4.18,0,21.9,8,13.4
3,2009,2009-03-20,3.39,0,17.3,7.1,11
3,2009,2009-03-21,1.83,4.06,13.2,6.4,9.7
3,2009,2009-03-22,3.99,5.84,11.9,4.6,8.1
3,2009,2009-03-23,4.18,0,16.7,2.8,9
3,2009,2009-03-24,3.92,0,17.9,2.2,9.2
3,2009,2009-03-25,3.76,0.51,17.6,0,13.5
3,2009,2009-03-26,4.02,0,23.4,7.2,13
3,2009,2009-03-27,4.35,0,22.5,6.6,12.9
3,2009,2009-03-28,4.58,0,23.5,6.7,13.1
3,2009,2009-03-29,4.55,0,19.6,5.6,11.9
3,2009,2009-03-30,4.93,0,20.4,5.8,13.1
3,2009,2009-03-31,4.81,0,23.7,3.8,12.7
4,2009,2009-04-01,4.36,0,24,7,13.3
4,2009,2009-04-02,4.09,0,18.3,4.3,10.1
4,2009,2009-04-03,4.37,0,18.1,3.8,9.9
4,2009,2009-04-04,4.23,0,17.7,1.3,9.1
4,2009,2009-04-05,4.95,0,21.1,2.7,12
4,2009,2009-04-06,4.61,0,20.9,4.6,12.4
4,2009,2009-04-07,1.4,6.86,13.7,7.5,10.1
4,2009,2009-04-08,1.2,0.76,12.7,6.8,9.9
4,2009,2009-04-09,0.9,4.83,11.9,6.8,9.4
4,2009,2009-04-10,2.97,0,16.6,6.9,10.3
4,2009,2009-04-11,3.87,0,17.9,7.1,11
4,2009,2009-04-12,4.18,0,19,8,12.5
4,2009,2009-04-13,3.97,0,19.6,6.8,11.3
4,2009,2009-04-14,4.53,0,13.5,4.5,8.3
4,2009,2009-04-15,4.53,0,15.5,2.9,8.8
4,2009,2009-04-16,4.18,0,17.3,2.4,9.3
4,2009,2009-04-17,4.45,0,19.8,2.7,11
4,2009,2009-04-18,4.79,0,25.1,5.7,13
4,2009,2009-04-19,6.06,0,32,9.7,20.9
4,2009,2009-04-20,5.07,0.51,34.7,13.2,23.6
4,2009,2009-04-21,5.13,0,35.4,13.7,22.1
4,2009,2009-04-22,3.93,0,16.9,10.1,12.9
4,2009,2009-04-23,2.54,0.76,14.1,7.6,11
4,2009,2009-04-24,4.19,0,17.9,7.2,10.9
4,2009,2009-04-25,4.54,0.25,19.1,5.8,11.2
4,2009,2009-04-26,4.32,0,15.9,3.2,9.2
4,2009,2009-04-27,1.81,0,12.3,6.1,9.1
4,2009,2009-04-28,3.85,0,17,6.4,10.2
4,2009,2009-04-29,4.72,0,17.6,1.8,9.8
4,2009,2009-04-30,4.65,0,21.4,3.4,12
5,2009,2009-05-01,1.14,10.92,16.9,8.8,11.7
5,2009,2009-05-02,1.08,1.02,15.5,11.1,12.7
5,2009,2009-05-03,0.58,11.94,14.7,11.7,13.2
5,2009,2009-05-04,2.59,5.59,19.7,11.5,14
5,2009,2009-05-05,1.63,12.95,19.3,12.4,14.5
5,2009,2009-05-06,5.21,0,25.5,11.9,17.1
5,2009,2009-05-07,4.96,0,25.8,8.8,15.1
5,2009,2009-05-08,5.4,0,28.5,7.4,14.9
5,2009,2009-05-09,4.9,0,21.8,7.2,12.9
5,2009,2009-05-10,5,0,23.2,6.7,13.1
5,2009,2009-05-11,5.45,0,24.7,7.6,14.3
5,2009,2009-05-12,5.12,0,22.3,5,12.9
5,2009,2009-05-13,5.03,0,25.6,5.9,14.9
5,2009,2009-05-14,5.33,0,23.8,7.4,14.8
5,2009,2009-05-15,4.67,0,22.2,10.4,14.4
5,2009,2009-05-16,6.02,0,33.1,9.3,18.4
5,2009,2009-05-17,5.36,0,23.3,10.7,16.6
5,2009,2009-05-18,2.64,0,17.4,9.4,11.6
5,2009,2009-05-19,3.75,0,17.6,8.2,12.6
5,2009,2009-05-20,4.93,0,21,5.8,12.2
5,2009,2009-05-21,4.27,0,14.4,8.5,10.7
5,2009,2009-05-22,3.44,0,15,8.8,10.9
5,2009,2009-05-23,3.06,0,16.2,8.8,11.3
5,2009,2009-05-24,4.05,0,17.2,9.2,12
5,2009,2009-05-25,3.59,0,16.7,9,11.1
5,2009,2009-05-26,4.41,0,17.8,8.3,11.7
5,2009,2009-05-27,4.18,0,16.7,8.1,11.8
5,2009,2009-05-28,2.63,0,14.7,9.6,11.6
5,2009,2009-05-29,3.05,0,15.8,10.4,12.6
5,2009,2009-05-30,2.9,0,16.9,10.7,13.1
5,2009,2009-05-31,3.52,0,19.4,10.7,13.3
6,2009,2009-06-01,3.48,0.25,19.3,10.6,13.2
6,2009,2009-06-02,4.67,0.25,22.1,11.5,14.3
6,2009,2009-06-03,4.4,0.25,25.1,10.6,15
6,2009,2009-06-04,4.79,0,20,8.7,14.4
6,2009,2009-06-05,5.1,0,19.6,9.6,14.4
6,2009,2009-06-06,4.97,0,20.8,8.2,14.6
6,2009,2009-06-07,5.27,0,23.9,8,15.5
6,2009,2009-06-08,4.67,0,20.2,9,14.3
6,2009,2009-06-09,3.65,0,19.2,10.6,14.6
6,2009,2009-06-10,4.14,0,19.8,12.8,15.9
6,2009,2009-06-11,4.3,0,23.2,10.3,15.5
6,2009,2009-06-12,4.82,0,22.1,8.9,15.4
6,2009,2009-06-13,4.45,0,19.7,11.2,15.8
6,2009,2009-06-14,5.09,0,21,10,15.4
6,2009,2009-06-15,2.44,0,20.1,9,14.7
6,2009,2009-06-16,5.14,0,23.2,12,16.2
6,2009,2009-06-17,5.19,0,24.1,10.8,16.5
6,2009,2009-06-18,5.38,0,26.8,11.6,16.5
6,2009,2009-06-19,5.32,0,25.4,11.2,16.3
6,2009,2009-06-20,4.39,0,21.6,9.8,14.2
6,2009,2009-06-21,5.37,0,22.5,9.5,15
6,2009,2009-06-22,5.63,0,24.7,7.8,15.3
6,2009,2009-06-23,5.15,0,19.1,9.1,13.6
6,2009,2009-06-24,2.26,0,16.7,10.9,12.9
